2130;511281.283;178667.251;178.209;t
2131;511276.494;178669.629;178.321;t
2132;511275.002;178670.310;178.261;us
2133;511265.347;178653.358;179.385;ut
2134;511266.928;178651.802;179.358;us
2135;511263.564;178653.067;179.485;us
2136;511269.742;178650.521;179.164;t
2137;511259.685;178654.542;179.520;t
2138;511273.393;178649.161;179.051;t
2139;511283.154;178646.842;178.977;t
2140;511256.474;178656.651;179.523;t
2141;511254.258;178659.226;179.626;t
2142;511261.586;178638.092;180.058;ut
2143;511259.731;178638.423;180.053;us
2144;511263.610;178637.278;179.994;us
2145;511242.438;178644.083;181.047;t
2146;511265.460;178636.595;179.856;t
2147;511251.332;178640.771;180.399;t
2148;511269.031;178635.262;179.717;t
2149;511258.709;178639.231;180.220;t
2150;511274.345;178632.901;179.860;t
2151;511255.911;178615.472;181.293;ut
2152;511257.826;178614.751;181.196;us
2153;511254.355;178615.798;181.319;us
2154;511259.168;178614.183;180.995;t
2155;511253.832;178615.904;181.348;t
2156;511253.120;178616.072;181.547;t
2157;511249.951;178615.518;181.587;t
2158;511245.452;178615.919;181.844;t
2159;511264.840;178612.212;180.951;t
2160;511241.717;178615.813;182.278;t
2161;511271.726;178610.610;181.035;t
2162;511248.888;178593.565;182.675;ut
2163;511247.078;178594.293;182.695;us
2164;511250.757;178592.864;182.697;us
2165;511251.870;178592.617;182.572;as
2166;511253.050;178592.193;182.380;am
2167;511253.422;178591.957;182.557;as
2168;511246.156;178594.416;183.007;t
2169;511242.447;178594.993;183.211;t
2170;511236.952;178585.282;184.184;t
2171;511258.590;178590.313;182.450;t
2172;511261.353;178589.652;182.763;t
2173;511241.452;178566.490;184.765;ut
2174;511239.871;178566.911;184.772;us
2175;511243.152;178565.704;184.744;us
2176;511238.563;178566.696;185.048;t
2177;511243.909;178566.208;184.646;as
2178;511245.353;178565.970;184.690;as
2179;511244.746;178566.136;184.390;af
2180;511233.422;178566.645;185.449;t
2181;511247.530;178564.785;184.858;t
2182;511220.670;178566.741;186.145;t
2183;511251.464;178563.203;184.544;t
2184;511256.433;178562.031;184.917;t
2185;511237.468;178547.050;185.974;ut
2186;511239.226;178546.892;185.950;us
2187;511235.470;178547.396;186.003;us
2188;511239.674;178546.345;185.963;as
2189;511241.449;178546.009;185.975;as
2190;511240.542;178546.220;185.762;af
2191;511234.579;178547.595;186.139;t
2192;511244.426;178544.873;186.108;t
2193;511226.478;178546.370;186.782;t
2194;511216.645;178545.625;187.441;t
2195;511248.056;178544.008;186.023;t
2196;511253.640;178543.794;186.371;t
2197;511233.386;178525.403;187.602;ut
2198;511230.333;178521.827;187.930;us
2199;511233.376;178519.950;187.873;us
2200;511234.507;178519.619;187.869;as
2201;511237.206;178518.725;188.215;as
2202;511234.764;178519.136;187.644;af
2203;511236.279;178518.542;187.653;af
2204;511240.578;178517.803;187.924;af
2205;511238.596;178518.309;188.392;as
2206;511241.845;178517.488;188.262;as
2207;511244.696;178516.479;188.877;t
2208;511229.532;178521.869;188.074;t
2209;511226.165;178522.811;188.131;t
2210;511218.819;178527.463;188.208;t
2211;511227.443;178499.166;189.834;ut
2212;511228.789;178498.539;189.856;us
2213;511225.798;178499.233;189.820;us
2214;511230.482;178497.921;189.898;as
2215;511231.124;178497.625;189.412;af
2216;511232.593;178497.356;189.486;af
2217;511234.217;178496.422;190.659;as
2218;511224.252;178499.228;190.113;t
2219;511216.348;178496.316;190.098;t
2220;511236.375;178497.015;190.266;t
2221;511210.582;178495.478;190.099;t
2222;511239.527;178497.605;190.446;t
2223;511243.899;178495.443;191.287;t
2224;511224.972;178481.262;191.220;ut
2225;511226.819;178480.784;191.260;us
2226;511222.920;178480.995;191.204;us
2227;511228.041;178480.495;191.232;as
2228;511229.512;178480.064;190.725;af
2229;511233.527;178479.141;191.979;as
2230;511219.969;178483.028;191.302;t
2231;511236.668;178477.805;192.176;t
2232;511211.058;178484.333;190.893;t
2233;511240.437;178477.177;192.971;t
2234;511223.740;178469.995;192.039;ut
2235;511225.629;178469.904;192.032;us
2236;511221.975;178470.043;192.030;us
2237;511227.236;178469.420;191.921;as
2238;511228.135;178469.372;191.763;af
2239;511230.422;178469.321;192.938;as
2240;511219.586;178470.655;192.084;t
2241;511211.239;178474.228;191.525;t
2242;511235.178;178468.503;193.318;t
2243;511203.324;178476.538;191.012;t
2244;511240.891;178466.569;193.849;t
2245;511224.088;178455.849;192.864;ut
2247;511222.520;178455.720;192.852;us
2248;511226.518;178455.893;192.839;t
2249;511221.137;178455.722;193.264;t
2250;511228.870;178455.405;193.997;kv
2251;511215.967;178454.629;192.918;t
2252;511232.621;178454.776;194.257;t
2253;511208.674;178452.392;192.624;t
2254;511238.315;178455.498;194.440;t
2255;511225.056;178439.145;193.638;ut
2256;511226.471;178439.022;193.691;us
2257;511223.412;178438.886;193.622;us
2258;511227.655;178438.816;193.791;t
2259;511221.549;178438.820;194.143;t
2260;511230.287;178439.058;194.810;kv
2261;511206.856;178439.992;193.143;t
2262;511232.234;178439.705;194.820;t
2263;511237.359;178440.107;194.853;t
2265;511225.260;178425.780;194.228;ut
2266;511227.651;178425.803;194.241;ut
2267;511223.503;178425.452;194.252;us
2268;511229.151;178425.627;195.219;kp
2269;511221.163;178424.320;195.155;t
2270;511234.168;178426.031;195.106;t
2271;511240.974;178426.110;194.960;t
2272;511213.768;178424.827;194.803;t
2273;511228.193;178406.988;195.555;us
2274;511226.387;178407.423;195.526;ut
2275;511229.309;178406.410;195.698;t
2276;511224.434;178407.378;195.529;us
2277;511232.039;178405.290;196.010;t
2278;511222.245;178407.509;196.049;t
2279;511216.411;178407.407;195.947;t
2280;511239.838;178405.118;195.418;t
2281;511212.622;178404.621;196.065;t
2282;511225.432;178397.850;195.902;ut
2283;511223.542;178397.997;195.908;us
2284;511227.044;178397.494;195.971;us
2285;511228.413;178398.973;195.910;us
2286;511227.866;178395.166;196.087;us
2287;511232.112;178397.437;195.971;us
2288;511232.294;178395.015;196.041;us
2289;511239.598;178395.592;195.526;us
2290;511238.765;178392.909;195.705;us
2291;511215.872;178401.912;196.248;t
2292;511249.640;178394.400;194.358;us
2293;511246.071;178392.240;194.896;us
2294;511222.779;178400.705;196.271;t
2295;511245.381;178386.506;195.098;t
2296;511240.322;178374.554;196.034;t
2297;511229.951;178372.543;197.186;t
2298;511228.922;178382.380;196.752;t
2299;511231.016;178387.839;196.581;t
2300;511223.307;178384.088;196.857;t
2301;511227.175;178384.198;196.591;t
2302;511225.161;178378.407;196.967;t
2303;511228.510;178376.121;196.805;t
2304;511229.329;178368.521;197.046;t
2305;511227.469;178364.777;197.359;us
2306;511227.381;178364.515;197.389;us
2307;511220.988;178368.140;197.978;t
2308;511221.525;178374.377;197.773;t
2309;511216.247;178374.691;197.596;us
2310;511214.411;178378.401;197.424;us
2311;511211.689;178375.673;197.561;us
2312;511214.631;178375.447;197.544;ut
2313;511203.306;178380.159;197.271;us
2314;511204.171;178382.261;197.148;us
2315;511194.836;178382.249;197.228;us
2316;511195.515;178379.446;197.440;us
2317;511197.976;178362.476;198.635;ut
2318;511199.257;178361.040;198.675;us
2319;511197.010;178363.918;198.564;us
2320;511202.309;178356.880;199.143;t
2321;511192.860;178368.978;198.350;t
2322;511204.901;178353.196;199.225;t
2323;511195.572;178364.541;198.712;t
2324;511195.255;178357.734;199.060;t
2325;511179.842;178344.625;199.944;ut
2326;511181.270;178343.620;199.939;us
2327;511178.340;178345.681;199.861;us
2328;511181.986;178342.555;200.162;t
2329;511176.839;178346.654;199.896;t
2330;511183.184;178340.986;200.447;t
2331;511175.678;178347.204;199.657;t
2332;511188.497;178336.921;200.959;t
2333;511171.857;178350.365;199.247;t
2334;511168.499;178356.712;198.692;t
2335;511190.559;178334.325;201.157;t
2336;511166.099;178330.980;200.323;us
2337;511168.872;178328.880;200.364;us
2338;511167.538;178329.976;200.340;us
2339;511169.681;178327.688;200.853;t
2340;511165.421;178331.598;200.305;t
2341;511174.163;178324.248;201.403;t
2342;511162.591;178333.549;200.213;t
2343;511176.705;178317.770;202.124;t
2344;511159.770;178335.918;199.930;t
2345;511156.978;178338.471;199.667;t
2346;511156.863;178313.782;201.290;ut
2347;511158.639;178313.053;201.356;us
2348;511155.331;178314.815;201.248;us
2349;511159.459;178312.732;201.586;t
2350;511154.076;178315.507;201.275;t
2351;511161.809;178311.863;201.848;t
2352;511151.110;178318.601;200.989;t
2353;511165.927;178310.945;202.125;t
2354;511141.742;178326.031;200.312;t
2355;511169.445;178308.003;202.564;t
2356;511150.345;178299.815;202.083;ut
2357;511152.002;178298.773;202.149;us
2358;511148.172;178300.447;202.036;us
2359;511152.698;178298.330;202.367;t
2360;511145.627;178301.336;202.050;t
2361;511153.518;178297.514;202.554;t
2362;511140.301;178304.250;201.657;t
2363;511163.058;178294.995;203.285;t
2364;511137.937;178305.885;201.457;t
2365;511169.753;178292.428;203.940;t
2366;511140.029;178272.630;203.607;ut
2367;511138.346;178273.038;203.533;us
2368;511141.346;178272.150;203.607;us
2369;511136.115;178274.016;203.515;t
2370;511142.957;178271.556;203.952;t
2371;511130.567;178277.079;203.102;t
2372;511154.364;178266.744;205.005;t
2373;511126.500;178282.428;202.752;t
2374;511131.529;178252.873;204.280;ut
2375;511132.775;178252.132;204.236;us
2376;511129.535;178253.501;204.197;us
2377;511133.367;178251.728;204.246;t
2378;511124.960;178253.876;203.971;t
2379;511133.829;178251.344;204.531;t
2380;511119.113;178255.262;203.625;t
2381;511134.679;178250.549;204.823;t
2382;511136.457;178249.552;205.021;t
2383;511140.342;178247.786;205.181;t
2384;511121.594;178233.800;204.867;us
2385;511124.569;178232.683;204.900;us
2386;511123.453;178233.155;204.883;ut
2387;511125.744;178231.865;205.206;t
2388;511120.004;178234.204;204.831;t
2389;511129.885;178228.104;205.471;t
2390;511116.344;178235.459;204.796;t
2391;511112.149;178236.894;204.245;t
2392;511135.287;178223.566;205.886;t
2393;511108.767;178238.148;203.985;t
2394;511115.629;178214.296;205.841;ut
2395;511117.434;178213.550;205.919;us
2396;511114.308;178214.809;205.795;us
2397;511117.937;178213.015;206.198;t
